#MACHO_ID class amplitude hl_amp_ratio kurtosis n_points period period_SNR period_log10FAP period_uncertainty phase_cusum phase_eta phi21 phi31 quartile31 r21 r31 shapiro_w skewness slope_per10 slope_per90 stetson_k weighted_mean weighted_std
           1.4655.46         Cepheid   0.2077   0.6489  -1.2494  1139    3.0377625 233.7943 -209.7353    0.0039554   0.2699   0.0890  -2.1677  -1.0827   0.2865   0.2947   0.1025   0.9284  -0.2952  -0.5424   0.7297   0.7556  -7.8690   0.1582
           1.4657.37         Cepheid   0.1071   0.9529  -0.9499  1215    1.9797730 233.6946 -209.6130    0.0014395   0.2343   0.3492   1.2345   3.1935   0.1415   0.1473   0.0120   0.9746  -0.0470  -0.3231   0.3302   0.7913  -8.0635   0.0806
           1.4659.63         Cepheid   0.3763   0.5161  -1.2322  1243    4.3682050 223.6615 -208.4843    0.0081802   0.3364   0.0984   1.0840   2.2915   0.5570   0.3975   0.1893   0.9056  -0.4107  -0.4901   0.4873   0.7146  -8.7139   0.3113
           1.4661.17         Cepheid   0.4099   0.6906  -0.5741  1166   11.8556089 231.7185 -217.5383    0.0603135   0.2480   0.0776   1.1038   0.6532   0.4540   0.2158   0.1445   0.9515  -0.4992  -0.9590   1.1076   0.6963  -9.7473   0.3131
          1.3321.195              RR   0.1163   1.5714   2.0823  1052  347.4654575  24.1793  -5.6057   46.1059934   0.5373   3.6865   0.8704   1.2434   0.3895   0.1512   0.2101   0.9099   0.8406  -7.3735   6.8454   0.6499  -4.7782   0.2546
         1.3442.1051              RR   0.2266   0.6284  -0.1530  1220    0.5983842 178.0545 -104.2326    0.0001534   0.3293   0.9999   0.7226  -1.0497   0.3810   0.4647   0.3791   0.9880  -0.1107  -0.0235   0.0178   0.6965  -5.0622   0.2454
         1.3442.1107              RR   0.2555   0.5837   0.3066  1207    0.6184542 178.5280 -105.9948    0.0001639   0.3586   1.1626   3.9635   4.8337   0.4030   0.3893   0.2379   0.9912  -0.0263  -0.0195   0.0217   0.6443  -4.9314   0.2558
         1.3442.1388              RR   0.3338   0.4544  -0.0558  1213    0.5800698 171.0252 -101.9780    0.0002060   0.4355   1.1473   0.6861   1.4446   0.5030   0.3134   0.1391   0.9802  -0.3284  -0.0128   0.0110   0.5512  -4.9487   0.3674
          1.3442.503              RR   0.1558   0.6968   0.8026  1216    0.7044277 165.9847 -92.0304    0.0002126   0.2685   1.2872   1.0577  -1.0716   0.2510   0.4811   0.2455   0.9856   0.0420  -0.0330   0.0407   0.7639  -5.5084   0.1612
         1.3443.1313              RR   0.2518   0.6218  -0.0661  1209    0.6071461 173.9306 -102.9073    0.0001580   0.3953   1.2264   0.8194   1.8635   0.3970   0.3745   0.1911   0.9932   0.0445  -0.0180   0.0221   0.6434  -4.9042   0.2506
